NATION,NATIONABRV,MEN,FEMALE ,TOTAL,LAT,LONG
ARGENTINA,ARG,0,1,1,38.4161,63.6167
AUSTRALIA,AUS,2,0,2,25.2744,133.7751
BELGIUM,BEL,17,4,21,50.5039,4.4699
CANADA,CAN,8,7,15,56.1304,106.3468
CZECH REPUBLIC,CZE,0,1,1,49.8175,15.473
ESTONIA,EST,1,0,1,58.5953,25.0136
FRANCE,FRA,4,2,6,46.2276,2.2137
GREAT BRITAIN,GBR,1,2,3,55.3781,3.436
GERMANY,GER,3,0,3,51.1657,10.4515
IRELAND,IRL,0,1,1,53.4129,8.2439
ITALY,ITA,0,1,1,41.8719,12.5674
LUXEMBOURG,LUX,1,0,1,49.8153,6.1296
NETHERLANDS,NED,3,1,4,52.1326,5.2913
UNITED STATES OF AMERICA,USA,16,18,34,37.0902,95.7129
